,Model,Colour,Memory,RAM,mAH of Battery,Rear Camera(In MP),Front Camera(In MP),Processor in Phone,Price of Phone,Camera quality index (Front + Rear specs in MP),Phone storage(RAM +ROM in GB)
242,POCO F5 5G,Snowstorm White,256,8,5000,64,16,Qualcomm Snapdragon 7+ Gen 2 (4nm),29999.0,16+64,8+256
243,redmi max,M3),16,2,5000,13,5,Octa Core,4999.0,5+13,2+16
244,redmi max,M3),16,8,1200,2,0,MT6260A,3549.0,2,8+16
245,redmi mono,M3),16,4,1000,0,0,MTK6261D,1699.0,0,4+16
246,redmi min,M3),16,4,1000,0,0,Spreadtrum,920.0,0,4+16
248,REDMI 10,Midnight Black,128,6,6000,50,5,Qualcomm Snapdragon 680,10999.0,5+50,6+128
249,OPPO A17,Lake Blue,64,4,5000,50,5,Mediatek Helio G35,11970.0,5+50,4+64
250,micromax,Lake Blue,64,4,1500,0,0,Mediatek MT6261D,1199.0,0,4+64
251,REDMI Note 12,Sunrise Gold,128,6,5000,50,13,Snapdragon 685,16999.0,13+50,6+128
252,REDMI 11 Prime,Playful Green,128,6,5000,50,8,Helio G99,11999.0,8+50,6+128
253,REDMI Note 12 Pro 5G,Onyx Black,128,8,5000,50,16,Mediatek Dimensity 1080,25999.0,16+50,8+128
254,Micromax IN 2C,Silver,32,3,5000,8,5,Unisoc T610,5999.0,5+8,3+32
255,REDMI Note 12 Pro+ 5G,Arctic White,256,8,4980,200,16,Mediatek Dimensity 1080,29999.0,16+200,8+256
256,REDMI Note 12,Lunar Black,128,6,5000,50,13,Snapdragon 685,16999.0,13+50,6+128
257,OPPO A17,Sunlight Orange,64,4,5000,50,5,Mediatek Helio G35,12499.0,5+50,4+64
258,OPPO A17,Midnight Black,64,4,5000,50,5,Mediatek Helio G35,12499.0,5+50,4+64
259,POCO X5 Pro 5G,Yellow,128,6,5000,108,16,Qualcomm Snapdragon 778G,21999.0,16+108,6+128
260,realme 9 Pro+ 5G,Aurora Green,256,8,4500,50,16,Mediatek Dimensity 920,21999.0,16+50,8+256
261,realme 9 Pro+ 5G,Midnight Black,256,8,4500,50,16,Mediatek Dimensity 920,21999.0,16+50,8+256
262,REDMI 11 Prime,Playful Green,64,4,5000,50,8,Helio G99,9999.0,8+50,4+64
263,REDMI Note 12 Pro 5G,Glacier Blue,256,8,5000,50,16,Mediatek Dimensity 1080,26999.0,16+50,8+256
264,REDMI Note 12 Pro 5G,Onyx Black,128,6,5000,50,16,Mediatek Dimensity 1080,23999.0,16+50,6+128
